patient_id	ATM	ATR	BAX	BBC3	CCND1	CCND2	CCND3	CDK4	CDK6	CDKN1A	CDKN1B	CDKN2A	CHEK1	CHEK2	E2F1	MDM2	MDM4	PMAIP1	RB1	TP53
TCGA-FA-8693	0.37163631674353675	0.4056319198473576	0.20338688392794935	0.3210030552855157	0.27937815177628744	0.27526241973992277	0.30466394202721825	0.4112703148342776	0.2288908517579802	0.26314938429829693	0.19903436067281444	0.2174737741507057	0.28934185612532026	0.18464172731670045	0.2901462687255702	0.22773527833933407	0.16109985240913088	0.30838000096960805	0.3058336415965802	0.3662595116878477
TCGA-FA-A4BB	0.2572029584000699	0.23491027935773262	0.3171660795272326	0.2488987268412957	0.32981227497245796	0.41422793240537875	0.6953360579727818	0.35900102210874735	0.3324621308796078	0.3468249803876335	0.25402577921178426	0.17247895975605654	0.416703301424047	0.3761760566082843	0.1978014849799169	0.36640413166768	0.8485309178598869	0.4020714630518026	0.2918463098472331	0.26665194034815703
TCGA-FA-A4XK	0.20954543864901445	0.3044453398226366	0.3073005975861418	0.15672773197901882	0.7931005396599855	0.670223612532317	0.16311150965387974	0.727952994032377	0.9999989787626588	0.008843023714128904	0.18777905442728596	0.6745629030397962	0.2717364129045928	0.40260034585672905	0.27293531046116204	0.7103953468501047	0.22770816859831508	0.3446035058501529	0.25885728281806153	0.2606427899595805
TCGA-FA-A6HN	0.18599909505324813	0.3492502939795442	0.2698846662321972	0.03735935971334688	0.2640887385931826	0.5309724970264105	0.6328780964659354	0.1324575726887123	0.27314800325934346	0.04625846017524457	0.16229616262940533	0.30044331070997127	0.39742426466872255	0.3052288047779013	0.20098276822965175	0.5225651711318359	0.8806540923428322	0.22371121057824506	0.20517652796056082	0.3664182002027954
TCGA-FA-A6HO	0.18888990402585754	0.184955485063945	0.3704921711290456	0.3428472564910983	0.3700735317349299	0.4210430451580592	0.644483069150859	0.191811498910533	0.6012138686847286	0.4179232376859724	0.6257710009383302	0.35958904310601075	0.4067636206327769	0.8101378519819	0.6454463056421799	0.24156670642872158	0.4323888765628922	0.20687774966257488	0.19844117718534676	0.7162396936964679
TCGA-FA-A7DS	0.2489475101360757	0.2924481511127421	0.31560788780166943	0.3414264763395638	0.320963756372399	0.597399143255913	0.13378305992621917	0.7954955457155588	0.3364382499816684	0.28625588345933817	0.7358238546601941	0.780675270576441	0.09551310657573488	0.2674554101796684	0.32169308931957974	0.7210742292885975	0.33806026070536577	0.28877125746658766	0.04837910224157801	0.22916942329594175
TCGA-FA-A7Q1	0.14358347489399056	0.2800254248543092	0.3796072558042672	0.3050578564040517	0.3050019529730351	0.2604921240835651	0.34849274287468107	0.8497409074248645	0.15235895762689491	0.369593935112252	0.36462765517795653	0.7889269154966081	0.4061546178249044	0.29896239566409183	0.3277678885171979	0.7964406997037076	0.9493756422210692	0.2947307305568144	0.2509257921745793	0.010904197435856786
TCGA-FA-A82F	0.29059576293153794	0.2818673754707774	0.38767610180460016	0.7996030470125667	0.6183517136559332	0.2739591570923287	0.7972328815464136	0.2665814593091531	0.6447880926365225	0.3923926699339546	0.3781702331763204	0.06741380503734733	0.2511121863129815	0.5427521905323607	0.7226076669859796	0.1814013907862557	0.2816198942401872	0.19252063368873093	0.2028980357349818	0.6441766899925344
TCGA-FA-A86F	0.17367030436358213	0.2304973260512297	0.30253114833122335	0.37197426925198085	0.3122301626414313	0.4157708110536885	0.4085728942878876	0.2895453128729362	0.2781229044943202	0.3363804079891917	0.18837716193305515	0.07160017632562855	0.7266259977219738	0.30524846162989905	0.31239851570778887	0.2461175080516564	0.7712655482807727	0.3534743159003807	0.2294618099985191	0.3939101613317706
TCGA-FF-8041	0.35665755304513463	0.40419773415740473	0.11347171675588309	0.09912534269017972	0.9047542246719423	0.6682078824341076	0.4545835140810529	0.8199094717369384	0.5480159692226957	0.08032257009225538	0.30321058964784414	0.2995566892900287	0.19178926824628767	0.19007010379142703	0.8319259610964358	0.7102544945582268	0.1623226874670631	0.2661178791347517	0.3452378823619699	0.2624219527488753
TCGA-FF-8042	0.3369510297391027	0.3500334366513076	0.09598218563862956	0.15573107307795309	0.27081745181284117	0.257640790075992	0.7741365233007749	0.30344380088321765	0.7379346861496372	0.2788759837783519	0.3782211167520667	0.7921906203645841	0.18860089565214233	0.1748036312811727	0.5121338822705298	0.3732363778560715	0.18494724438989085	0.2793557409343675	0.3856252576113481	0.3179434230845715
TCGA-FF-8043	0.3623936251379023	0.39564205566113236	0.30538901436595695	0.39244145492377763	0.6364081635714641	0.26539880404556254	0.5412521785826687	0.773170262302052	0.39028595414254835	0.3342973150524757	0.8092884429995422	9.950064966179484e-05	0.20619440250143517	0.5211608629116709	0.9676737263474374	0.7857029959924562	0.1442110750173084	0.18666482804209464	0.8331936087016603	0.9173345166471079
TCGA-FF-8046	0.354484651106259	0.3905172776140234	0.2690549740385682	0.4328604246394594	0.25048435677004216	0.3016845235293938	0.2641526853630873	0.3337689459196954	0.25366025521960406	0.37116565071370217	0.29678941035215584	0.03340015493422251	0.3474145262683435	0.1046973557888281	0.3643465044148581	0.49933160984773817	0.20108184041329882	0.38848427275861663	0.38583619487193827	0.4981027213034197
TCGA-FF-8047	0.3515218901371666	0.27317916228467526	0.2846266521309393	0.2928010479617496	0.1917450794884742	0.2983154764706062	0.19245525015460635	0.33010055856808207	0.2555129081813946	0.4298657027849824	0.3614879848858179	0.7942851295549107	0.338298476086626	0.05684423932794442	0.45044793135303685	0.19262716516043477	0.6958581247472257	0.22232235489741192	0.2945683353072133	0.8259090906323048
TCGA-FF-8061	0.37521032148051187	0.3972698636959133	0.033221241714025386	0.013093297799155905	0.21070239302918098	0.2553500962363034	0.5433355529807808	0.4615904789831437	0.4729655331958449	0.3065343628927073	0.33491953533127605	0.03479438102489804	0.127306792229637	0.34740473076355444	0.4533230372793366	0.44376083437426767	0.22874087588248312	0.2928627527710327	0.3316077215801027	0.21559831009557365
TCGA-FF-8062	0.3453803365898535	0.3975285321231599	0.1743529387677207	0.17216013802060587	0.3522446980337178	0.2962387533615477	0.45081587579753524	0.3395836639723981	0.23494769141544108	0.29716982356724114	0.3131428897320236	0.1825444734446419	0.31619887762217574	0.2617342949808178	0.32535201280479065	0.23371480717118337	0.22368827467242586	0.38994727532532963	0.35255885494717876	0.36187541882933344
TCGA-FF-A7CQ	0.29194022780867346	0.21750937757195632	0.3566059191681961	0.41368799349903945	0.2859321393141079	0.5936147549835304	0.5684297040278603	0.2506782871181461	0.3396907070517086	0.20511570672569768	0.26716899821577955	0.7837961128176923	0.2374086463614427	0.37708916581739704	0.2751881683387638	0.2826049769621655	0.31648748799531096	0.0014158237437707668	0.06782790294505207	0.181665886117724
TCGA-FF-A7CR	0.12523299823036646	0.2002069707886318	0.3686776348497616	0.3512788272609662	0.3963641392965709	0.5588454694206958	0.14003963036989278	0.6553913697073246	0.25349388271291234	0.2385224792830428	0.18634376228683588	0.7888456325628967	0.2988177054587492	0.38338761296372154	0.24337542128788112	0.750135264173597	0.35138848035223474	0.21448957493490223	0.06992232799403147	0.351399650160838
